"resultado","Home_Score","Away_Score","Home_Gls","Home_Ast","Home_PK","Home_PKatt","Home_Sh","Home_SoT","Home_CrdY","Home_CrdR","Home_Touches","Home_Tkl","Home_Int_x","Home_Blocks","Home_SCA_SCA","Home_GCA_SCA","Home_Cmp_Passes","Home_Att_Passes","Home_Cmp_percent_Passes","Home_PrgP_Passes","Home_Carries_Carries","Home_PrgC_Carries","Home_Att_Take_Ons","Home_Succ_Take_Ons","Away_Gls","Away_Ast","Away_PK","Away_PKatt","Away_Sh","Away_SoT","Away_CrdY","Away_CrdR","Away_Touches","Away_Tkl","Away_Int_x","Away_Blocks","Away_SCA_SCA","Away_GCA_SCA","Away_Cmp_Passes","Away_Att_Passes","Away_Cmp_percent_Passes","Away_PrgP_Passes","Away_Carries_Carries","Away_PrgC_Carries","Away_Att_Take_Ons","Away_Succ_Take_Ons","Home_Final_Third","Away_Final_Third","Home_Touches_Touches","Home_Def_Pen_Touches","Home_Def_3rd_Touches","Home_Mid_3rd_Touches","Home_Att_3rd_Touches","Away_Touches_Touches","Away_Def_Pen_Touches","Away_Def_3rd_Touches","Away_Mid_3rd_Touches","Away_Att_3rd_Touches","Home_TklW_Tackles","Home_Def_3rd_Tackles","Home_Mid_3rd_Tackles","Home_Att_3rd_Tackles","Home_Tkl_Challenges","Home_Att_Challenges","Home_Tkl_percent_Challenges","Home_Lost_Challenges","Home_Blocks_Blocks","Home_Sh_Blocks","Home_Pass_Blocks","Home_Int_y","Home_Tkl_Int","Home_Clr","Away_TklW_Tackles","Away_Def_3rd_Tackles","Away_Mid_3rd_Tackles","Away_Att_3rd_Tackles","Away_Tkl_Challenges","Away_Att_Challenges","Away_Tkl_percent_Challenges","Away_Lost_Challenges","Away_Blocks_Blocks","Away_Sh_Blocks","Away_Pass_Blocks","Away_Int_y","Away_Tkl_Int","Away_Clr","Home_Recov","Away_Recov","Away_Pontuacao_3","Home_Pontuacao_3","Home_Pontuacao_Geral","Away_Pontuacao_Geral","Home_media_merc","Home_valor_merc","Away_media_merc","Away_valor_merc"
"Mandante",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.42,694,8.95,304.25
"Empate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,196,24.5,857.5
"Visitante",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38,220.73,3.03,106.05
"Mandante",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03,165.95,4.13,144.5
"Visitante",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.22,884.25,5.64,169.3
"Mandante",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94,381.25,5.5,192.45
"Empate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.24,297,4.6,165.49
"Visitante",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,148.2,31.53,1010
"Visitante",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63,208.28,24.4,829.6
"Mandante",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.27,849.5,6.36,260.6
